key,section,cs,en,uk,cs_web_suggested,en_web_suggested,notes_for_translator
contactsHowToGetTitle,Real Barber home screen,Jak se k nám dostanete?,How to get to us,Як до нас дістатися,,,
contactsJumpNavLabel,Real Barber home screen,Přejít na pobočku,Jump to branch,Перейти до філії,,,
contactsNoteLabel,Real Barber home screen,Poznámka:,Note:,Примітка:,,,
contactsOpenInMaps,Real Barber home screen,Otevřít v Mapách,Open in Maps,Відкрити в Картах,,,
contactsOperatorHoursAlertTitle,Real Barber home screen,Hodiny zákaznické podpory:,Customer support hours:,Години підтримки клієнтів:,,,
contactsOperatorHoursWeekdays,Real Barber home screen,Po–Pá: 08:30–21:30,Mon–Fri: 08:30–21:30,Пн–Пт: 08:30–21:30,,,
contactsOperatorHoursWeekend,Real Barber home screen,So–Ne: 09:30–18:30,Sat–Sun: 09:30–18:30,Сб–Нд: 09:30–18:30,,,
contactsOperatorStatusClosed,Real Barber home screen,Zákaznická podpora je offline,Customer support is offline,Підтримка клієнтів офлайн,,,
contactsOperatorStatusClosingSoon,Real Barber home screen,Zákaznická podpora brzy zavírá,Customer support closing soon,Підтримка клієнтів скоро закривається,,,
contactsOperatorStatusOpen,Real Barber home screen,Zákaznická podpora je online,Customer support is online,Підтримка клієнтів онлайн,,,
contactsOperatorStatusOpeningSoon,Real Barber home screen,Zákaznická podpora brzy otevírá,Customer support opening soon,Підтримка клієнтів скоро відкривається,,,
contactsTitle,Real Barber home screen,Kontakty,Contacts,Контакти,,,
contactsTravelGoogleMaps,Real Barber home screen,Jeďte pohodlně s Google Maps,Go comfortably with Google Maps,Дістаньтеся зручно з Google Maps,,,
contactsTravelUber,Real Barber home screen,Jeďte s Uber,Ride with Uber,Поїхати з Uber,,,
contactsTravelWaze,Real Barber home screen,Jeďte bezpečně s Waze,Drive safely with Waze,Маршрут у Waze,,,
contactsVisitRulesTitle,Real Barber home screen,Pravidla návštěv,Visit rules,Правила візитів,,,
currencyTitle,Currency,Měna,Currency,Валюта,,,
dashboardArrivingSoon,Dashboard,Brzy přijede,Arriving soon,Скоро прибуде,,,
dashboardRecentNotifications,Dashboard,Nedávná upozornění,Recent notifications,Останні сповіщення,,,
dashboardRecentReservations,Dashboard,Nedávné rezervace,Recent reservations,Останні бронювання,,,
dashboardUpcoming,Dashboard,Nadcházející,Upcoming,Найближча,,,
datePickerCancel,Native date picker (iOS modal toolbar),Zrušit,Cancel,Скасувати,,,
datePickerDone,Native date picker (iOS modal toolbar),Hotovo,Done,Готово,,,
datePickerPlaceholder,Native date picker (iOS modal toolbar),Vyberte datum,Select date,Оберіть дату,,,
earningsUpcoming,Earnings,Nadcházející,Upcoming,Найближча,,,
earningsYouveMade,Earnings,Vydělali jste,You've made,Ви заробили,,,
editProfileAddress,Edit profile,Adresa,Address,Адреса,,,
editProfileBirthday,Edit profile,Datum narození,Birthday,Дата народження,,,
editProfileChangePhoto,Edit profile,Změnit fotku,Change photo,Змінити фото,,,
editProfileCity,Edit profile,Město,City,Місто,,,
editProfileContact,Edit profile,Kontakt,Contact,Контакт,,,
editProfileCountry,Edit profile,Země,Country,Країна,,,
editProfileEmail,Edit profile,E-mail,Email,E-mail,,,
editProfileFirstName,Edit profile,Jméno,First name,Ім'я,,,
editProfileLastName,Edit profile,Příjmení,Last name,Прізвище,,,
editProfileLoading,Edit profile,Načítání profilu…,Loading profile…,Завантажую профіль…,,,
editProfilePersonalInfo,Edit profile,Osobní údaje,Personal information,Особисті дані,,,
editProfilePhone,Edit profile,Telefon,Phone,Телефон,,,
editProfilePhoneNumber,Edit profile,Telefonní číslo,Phone number,Номер телефону,,,
editProfilePhoto,Edit profile,Fotka,Photo,Фото,,,
editProfilePhotoSourceCamera,Edit profile,Vyfotit,Take photo,Зробити фото,,,
editProfilePhotoSourceLibrary,Edit profile,Vybrat z galerie,Choose from library,Вибрати з галереї,,,
editProfilePhotoSourceTitle,Edit profile,Vyberte zdroj fotky,Choose a photo source,Оберіть джерело фото,,,
editProfileRemovePhoto,Edit profile,Odstranit fotku,Remove photo,Видалити фото,,,
editProfileSaveChanges,Edit profile,Uložit změny,Save changes,Зберегти зміни,,,
editProfileSendSms,Edit profile,Odeslat SMS žádost,Send SMS request,Надіслати SMS-запит,,,
editProfileStreet,Edit profile,Ulice,Street,Вулиця,,,
editProfileSubtitle,Edit profile,Správa nastavení účtu,Manage your account settings,Керування налаштуваннями акаунта,,,
editProfileTitle,Edit profile,Nastavení profilu,Profile Settings,Налаштування профілю,,,
editProfileUploadPhoto,Edit profile,Nahrát fotku,Upload photo,Завантажити фото,,,
editProfileWhatsApp,Edit profile,WhatsApp žádost,WhatsApp request,Запит у WhatsApp,,,
editProfileZip,Edit profile,PSČ,ZIP,Індекс,,,
experienceAllBarbers,Experience,Všichni barbeři,All barbers,Усі барбери,,,
experienceBestRated,Experience,Nejlépe hodnocení barbeři,Best rated barbers,Найкраще оцінені барбери,,,
experienceMyFavorites,Experience,Moji oblíbení barbeři,My favorite barbers,Мої улюблені барбери,,,
experienceNewBarbers,Experience,Noví barbeři,New barbers,Нові барбери,,,
experienceNewBarbersBadge,Experience,Nový,New,Новий,,,
experienceNewBarbersDesc,Experience,,Barbers who have recently joined and are ready to take care of you.,"Барбери, які нещодавно приєдналися і готові подбати про вас.",,,
experiencePopularToday,Experience,Dnes dostupní oblíbení barbeři,Popular barbers available today,"Популярні барбери, доступні сьогодні",,,
experienceSchedule,Experience,Rozvrh,Schedule,Розклад,,,
favoritesBadgeBarber,Favorites tab,Holič,Barber,Барбер,,,
favoritesBadgeBranch,Favorites tab,Pobočka,Branch,Філія,,,
favoritesBadgeGuide,Favorites tab,Průvodce,Guide,Гід,,,
favoritesBadgeProduct,Favorites tab,Produkt,Product,Продукт,,,
favoritesBadgePromotion,Favorites tab,Akce,Promotion,Акція,,,
favoritesBadgeService,Favorites tab,Služba,Service,Послуга,,,
favoritesBranches,Favorites tab,Pobočky,Branches,Філії,,,
favoritesBrowseSubtitle,Favorites tab,"""Prohlížejte pobočky, holiče a služby a ukládejte si oblíbené""","""Browse branches, barbers and services and save your favorites""","""Переглядайте філії, барберів і послуги та зберігайте улюблене""",,,
favoritesEmployees,Favorites tab,Holiči,Barbers,Барбери,,,
favoritesFilterAll,Favorites tab,Vše,All,Усе,,,
favoritesFilterEmpty,Favorites tab,V tomto filtru nemáte oblíbené,No favorites in this filter,У цьому фільтрі немає улюблених,,,
favoritesNoFavoritesYet,Favorites tab,Zatím nemáte oblíbené,No favorites yet,Поки немає улюблених,,,
favoritesServices,Favorites tab,Služby,Services,Послуги,,,
favoritesShare,Favorites,Sdílet,Share,Поділитися,,,
favoritesSheetContinueBrowsing,Favorites tab,Pokračovat v prohlížení,Continue Browsing,Продовжити перегляд,,,
favoritesSheetMessageAdded,Favorites tab,bylo přidáno do vašich oblíbených.,has been added to your favourites.,додано до ваших обраних.,,,
favoritesSheetMessageRemoved,Favorites tab,bylo odebráno z vašich oblíbených.,has been removed from your favourites.,видалено з ваших обраних.,,,
favoritesSheetTitleAdded,Favorites tab,Přidáno do oblíbených,Added to Favourites,Додано до обраних,,,
favoritesSheetTitleRemoved,Favorites tab,Odebráno z oblíbených,Removed from Favourites,Видалено з обраних,,,
favoritesSheetViewFavourites,Favorites tab,Zobrazit oblíbené,View Favourites,Переглянути обрані,,,
favoritesShowMap,Favorites,Zobrazit mapu,Show map,Показати на карті,,,
favoritesTabTitle,Favorites tab,Oblíbené,Favorites,Улюблені,,,
favoritesTitle,Favorites,Oblíbené,Favorite List,Улюблені,,,
filtersAdditionalOptions,Filters,Další možnosti,Additional Options,Додаткові опції,,,
filtersAirCompressors,Filters (extra),Kompresory,Air compressors,Компресори,,,
filtersAirConditioning,Filters (extra),Klimatizace,Air conditioning,Кондиціонер,,,
filtersAmenities,Filters,Vybavení,Amenities,Зручності,,,
filtersAmenitiesLayout,Filters,Vybavení a uspořádání,Amenities and layout,Обладнання та планування,,,
filtersApply,Filters,Použít filtry,Apply Filters,Застосувати фільтри,,,
filtersAtLeast,Filters,Alespoň,At least,Щонайменше,,,
filtersBranchSize,Filters,Velikost pobočky (m²),Branch size (m²),Площа філії (м²),,,
filtersCardPayment,Filters,Platba kartou,Card payment,Оплата карткою,,,
filtersCoffeeMachine,Filters,Kávovar,Coffee machine,Кавоварка,,,
filtersElectricallyAdjustableChairs,Filters (extra),Elektricky nastavitelné křesla,Electrically adjustable chairs,Електрично регульовані крісла,,,
filtersNumberChairs,Filters,Počet křesel,Number of chairs,Кількість крісел,,,
filtersNumberWashBasins,Filters,Počet umyvadel,Number of wash basins,Кількість умивальників,,,
filtersParking,Filters (extra),Parkoviště,Parking,Парковка,,,
filtersSelfServiceCheckout,Filters (extra),Samoobslužná pokladna,Self-service checkout,Каса самообслуговування,,,
filtersTitle,Filters,Filtry,Filters,Фільтри,,,
filtersWheelchairAccessible,Filters,Bezbariérový přístup,Wheelchair accessible,Безбар’єрний доступ,,,
filtersWifi,Filters (extra),Wifi,Wifi,Wifi,,,
filtersWithin100mBus,Filters (extra),Do 100 m od autobusu,Within 100m of bus stop,До 100 м від автобуса,,,
filtersWithin100mMetro,Filters (extra),Do 100 m od metra,Within 100m of metro,До 100 м від метро,,,
filtersWithin100mTram,Filters (extra),Do 100 m od tramvaje,Within 100m of tram stop,До 100 м від трамвая,,,
forgotPasswordBackToLogin,Auth,Zpět na přihlášení,Back to login,Назад до входу,,,
forgotPasswordEmail,Auth,E-mail,Email,E-mail,,,
forgotPasswordSendRequest,Auth,Odeslat žádost,Send request,Надіслати запит,,,
guideMyHaircutsGotIt,"""Guide ""What's My style for""""",Rozumím,Got it,Зрозуміло,,,
guideMyHaircutsNext,"""Guide ""What's My style for""""",Další,Next,Інше,,,
guidesLoading,Guides,Načítání průvodců…,Loading guides…,Завантаження гідів…,,,
guidesNoGuides,Guides,Zatím žádní průvodci.,No guides yet.,Поки немає гідів.,,,
haircutAdd,Haircut,Přidat střih,Add haircut,Додати стрижку,,,
haircutBarber,Haircut form,Holič,Barber,Барбер,,,
haircutCreateAddPhoto,Add property steps & texts,Přidat fotku,Add photo,Додати фото,,,
haircutCreateAddPhotos,Add property steps & texts,Přidat fotky účesu,Add haircut photos,Додати фото зачіски,,,
haircutCreateAmenityCameBack,Add property – features/amenities (step 4),Vrátil jsem se k němu,Came back to it,Повернувся до неї,,,
haircutCreateAmenityLongLasting,Add property – features/amenities (step 4),Dlouho vydrží,Long lasting,Довго тримається,,,
haircutCreateAmenityLowMaintenance,Add property – features/amenities (step 4),Nízká údržba,Low maintenance,Низький догляд,,,
haircutCreateAmenityMyFavourite,Add property – features/amenities (step 4),Můj oblíbený účes,My favourite haircut,Моя улюблена зачіска,,,
haircutCreateAmenityNoDryHair,Add property – features/amenities (step 4),Nemusím sušit vlasy,Don't need to dry hair,Не треба сушити волосся,,,
haircutCreateAmenityPeopleCompliment,Add property – features/amenities (step 4),"""Účes, za který se chválí""",Haircut people compliment most,"""Зачіска, за яку хвалять""",,,
haircutCreateAmenityRecommendedByBarber,Add property – features/amenities (step 4),Doporučil holič,Recommended by barber,Рекомендував барбер,,,
haircutCreateAmenityRequiresStyling,Add property – features/amenities (step 4),Vyžaduje styling,Requires styling,Потребує укладки,,,
haircutCreateAmenitySomethingNew,Add property – features/amenities (step 4),Zkouším něco nového,Trying something new,Пробую щось нове,,,
haircutCreateAmenityStyling,Add property – features/amenities (step 4),Styling,Styling,Styling,,,
haircutCreateAmenityWantToTry,Add property – features/amenities (step 4),Chci vyzkoušet,Want to try,Хочу спробувати,,,
haircutCreateAmenityWithBeard,Add property – features/amenities (step 4),Sluší s vousy,Looks good with beard,Пасує з бородою,,,
haircutCreateAtLeastOnePhoto,Add property steps & texts,Aspoň jedna fotka pomůže. Další můžete doplnit později.,At least one photo helps. You can add more or edit later.,Хоча б одне фото допоможе. Інші можна додати пізніше.,,,
haircutCreateBasicDetails,Add property steps & texts,Základní údaje o účesu,Basic haircut details,Основні дані про зачіску,,,
haircutCreateChooseOption,Add property steps & texts,"""Vyberte možnost, která vám nejvíc sedí""",Choose the option that fits you best,"""Оберіть варіант, який вам найбільше підходить""",,,
haircutCreateChooseSeason,Add property steps & texts,"""Vyberte, kdy tento účes nosíte nejvíc""",Choose when you wear this haircut most,"""Оберіть, коли цю зачіску носите найбільше""",,,
haircutCreateCongratulations,Add property steps & texts,Gratulujeme!,Congratulations!,Вітаємо!,,,
haircutCreateCutSaveFailed,Add property steps & texts,Účes se nepodařilo uložit. Zkuste to prosím znovu.,Could not save your haircut. Please try again.,Не вдалося зберегти зачіску. Спробуйте ще раз.,,,
haircutCreateDescription,Add property / haircut,Popis,Description,Опис,,,
haircutCreateDifficulty,Add property / haircut,Obtížnost,Difficulty,Складність,,,
haircutCreateEasyTitle,Add property steps & texts,Přidat účes je snadné,It's easy to add your haircut,Додати зачіску легко,,,
haircutCreateFillLengths,Add property steps & texts,Vyplňte délky a jak často chodíte na úpravu,Fill in lengths and how often to refresh the cut,Вкажіть довжини та як часто ходите на підправку,,,
haircutCreateForWhichSeason,Add property steps & texts,Pro jaké období?,For which season?,Для якої пори року?,,,
haircutCreateHowDemanding,Add property steps & texts,Jak náročný je účes na styling a kdo vám ho dělal?,How demanding is the haircut to style and who did it for you?,Наскільки складна зачіска в укладці і хто її робив?,,,
haircutCreateHowOftenTrim,Add property steps & texts,Jak často na úpravu?,How often to trim?,Як часто на підправку?,,,
haircutCreateLengthAtEars,Add property steps & texts,Délka u uší,Length at ears,Довжина біля вух,,,
haircutCreateLengthCm,Add property steps & texts,Délka v cm,Length in cm,Довжина в см,,,
haircutCreateLengthOnTop,Add property steps & texts,Délka nahoře,Length on top,Довжина зверху,,,
haircutCreateLetsGo,Add property steps & texts,Jdeme na to,Let's go,Поїхали,,,
haircutCreateLoginRequired,Add property steps & texts,Pro uložení účesu se prosím přihlaste.,Log in to save your haircut.,"Щоб зберегти зачіску, увійдіть.",,,
haircutCreateNowName,Add property steps & texts,Pojmenujte svůj účes,Now name your haircut,Назвіть свою зачіску,,,
haircutCreateSeasonAllYear,Add property – seasons (step 2),Celoroční,All-year,Цілорічна,,,
haircutCreateSeasonAllYearDesc,Add property – seasons (step 2),Nosíte ho pořád.,You wear it all the time.,Носите її завжди.,,,
haircutCreateSeasonSummer,Add property – seasons (step 2),Letní,Summer,Літня,,,
haircutCreateSeasonSummerDesc,Add property – seasons (step 2),Účes pro teplé měsíce.,Haircut for warm months.,Зачіска для теплої пори.,,,
haircutCreateSeasonWinter,Add property – seasons (step 2),Zimní,Winter,Зимова,,,
haircutCreateSeasonWinterDesc,Add property – seasons (step 2),Účes pro chladné počasí.,Haircut for cold weather.,Зачіска для холодної погоди.,,,
haircutCreateSelectBarber,Add property / haircut,"""Vyberte, kdo vám stříhal""",Select who did your haircut,"""Оберіть, хто вас стриг""",,,
haircutCreateShortName,Add property steps & texts,Stačí krátký název. Můžete ho kdykoli změnit.,A short name is enough. You can change it anytime.,Достатньо короткої назви. Можна змінити будь-коли.,,,
haircutCreateStep1Desc,Add property steps & texts,Vymyslete název a vytvořte.,Come up with a name and create.,Придумайте назву і створіть.,,,
haircutCreateStep1Title,Add property steps & texts,Vytvořte si účes,Create your haircut,Створіть свою зачіску,,,
haircutCreateStep2Desc,Add property steps & texts,"""Přidejte fotky, popis, preference—přesně jak to chcete vy.""","""Add photos, description, your preferences—exactly how YOU want it.""","""Додайте фото, опис, уподобання — саме так, як хочете ви.""",,,
haircutCreateStep2Title,Add property steps & texts,Nastavte pravidla pro váš účes,Set the rules for your haircut,Налаштуйте правила для зачіски,,,
haircutCreateStep3Desc,Add property steps & texts,Získejte vysněný střih a nemusíte nikomu nic vysvětlovat.,Get your dream fresh cut and don't explain a thing to anyone.,Отримайте бажану стрижку і нічого нікому не пояснюйте.,,,
haircutCreateStep3Title,Add property steps & texts,Dokončete a uložte,Finish and save,Завершіть і збережіть,,,
haircutCreateStepBasics,Add property steps & texts,Základní údaje,Basics,Основні дані,,,
haircutCreateStepFeatures,Add property steps & texts,Vlastnosti,Features,Властивості,,,
haircutCreateStepHaircutType,Add property steps & texts,Typ účesu,Haircut type,Тип зачіски,,,
haircutCreateStepPhotos,Add property steps & texts,Fotky,Photos,Фото,,,
haircutCreateStepSeason,Add property steps & texts,Období,Season,Пора року,,,
haircutCreateStepStyling,Add property steps & texts,Styling a holič,Styling & stylist,Укладка і барбер,,,
haircutCreateStepSuccess,Add property steps & texts,Hotovo,Success,Готово,,,
haircutCreateStepTitleDesc,Add property steps & texts,Název a popis,Title & Description,Назва та опис,,,
haircutCreateStylingDifficulty,Add property steps & texts,Náročnost stylingu a holič,Styling difficulty and stylist,Складність укладки і барбер,,,
haircutCreateSuccessMessage,Add property steps & texts,"""Už jen krůček, klikni na Dokončit a prohlédni si svůj účes.""",Just one more step — tap Complete and take a look at your haircut.,"""Ще один крок — натисніть Завершити і перегляньте зачіску.""",,,
haircutCreateTakePhoto,Add property steps & texts,Vyfotit,Take photo,Зробити фото,,,
haircutCreateTitle,Add property / haircut,Název,Title,Назва,,,
haircutCreateTitleQuickIdeas,Add property steps & texts,Tipy — klepnutím doplníte název,Quick ideas — tap to fill the name,"Ідеї — торкніться, щоб підставити назву",,,
haircutCreateTitleSuggestAntiGravity,Add property steps & texts,Antigravitační pokus,Anti-gravity experiment,Антигравітаційний експеримент,,,
haircutCreateTitleSuggestBrainBurst,Add property steps & texts,Mozkový výboj 3000,Brain blast 3000,Мозковий розряд 3000,,,
haircutCreateTitleSuggestChaosChic,Add property steps & texts,Chaos chic,Chaos chic,Chaos chic,,,
haircutCreateTitleSuggestCtrlVFade,Add property steps & texts,Ctrl+C Ctrl+V fade,Ctrl+C Ctrl+V fade,Ctrl+C Ctrl+V fade,,,
haircutCreateTitleSuggestExperimentWrong,Add property steps & texts,Experiment gone wrong,Experiment gone wrong,Experiment gone wrong,,,
haircutCreateTitleSuggestExplosionMess,Add property steps & texts,Rozcuch po výbuchu,Messy after the blast,Кошлатість після вибуху,,,
haircutCreateTitleSuggestFiveMinRush,Add property steps & texts,Rychlovka na 5 minut,Five-minute rush job,Швидка на 5 хвилин,,,
haircutCreateTitleSuggestForestHermit,Add property steps & texts,Lesní poustevník,Forest hermit,Лісовий пустельник,,,
haircutCreateTitleSuggestGandalfUnfinished,Add property steps & texts,Nedokončený Gandalf (👀),Unfinished Gandalf (👀),Незавершений Ґандальф (👀),,,
haircutCreateTitleSuggestHedgehogTemu,Add property steps & texts,Na ježka z Temu,Temu hedgehog chic,Їжачок з Temu,,,
haircutCreateTitleSuggestLostComb,Add property steps & texts,Ztracený hřeben,Lost comb,Загублений гребінець,,,
haircutCreateTitleSuggestMorningPanic,Add property steps & texts,Ranní panika deluxe,Morning panic deluxe,Ранкова паніка deluxe,,,
haircutCreateTitleSuggestNaturalDisaster,Add property steps & texts,Přírodní katastrofa,Natural disaster,Стихійне лихо,,,
haircutCreateTitleSuggestNoIdeaHolds,Add property steps & texts,"""Nevím, co dělám, ale drží to""",No idea what I'm doing but it holds,"""Не знаю, що роблю, але тримається""",,,
haircutCreateTitleSuggestStaticElegance,Add property steps & texts,Statická elegance,Static elegance,Статична елегантність,,,
haircutCreateTitleSuggestStrongerWind,Add property steps & texts,Vítr byl silnější,The wind was stronger,Вітер був сильніший,,,
haircutCreateTitleSuggestVikingParty,Add property steps & texts,Viking po flámu,Viking after the party,Вікінг після гулянки,,,
haircutCreateTypeCasual,Add property – haircut types (step 1),Casual,Casual,Casual,,,
haircutCreateTypeLonger,Add property – haircut types (step 1),Delší,Longer,Довша,,,
haircutCreateTypeMediumLength,Add property – haircut types (step 1),Střední délka,Medium length,Середня довжина,,,
haircutCreateTypeModern,Add property – haircut types (step 1),Moderní,Modern,Сучасна,,,
haircutCreateTypeOffice,Add property – haircut types (step 1),Do kanceláře,Office,В офіс,,,
haircutCreateTypeRetro,Add property – haircut types (step 1),Retro,Retro,Retro,,,
haircutCreateTypeShorter,Add property – haircut types (step 1),Kratší,Shorter,Коротша,,,
haircutCreateTypeSporty,Add property – haircut types (step 1),Sportovní,Sporty,Спортивна,,,
haircutCreateWeeksToComeIn,Add property steps & texts,Každých kolik týdnů přijít,Every how many weeks to come in,Кожні скільки тижнів приходити,,,
haircutCreateWeeksUnit,Add property steps & texts,týdnů,weeks,тижнів,,,
haircutCreateWhatDescribes,Add property steps & texts,Co nejlépe vystihuje váš účes?,What best describes your haircut?,Що найкраще описує вашу зачіску?,,,
haircutCreateWhatGoesWith,Add property steps & texts,Co k účesu patří?,What goes with this haircut?,Що входить до зачіски?,,,
haircutDetailCreatedAtPrefix,Trip detail / Booking detail,Datum vytvoření účesu,Haircut created,Дата створення зачіски,,,
haircutDetailCreatedDateLabel,Trip detail / Booking detail,Datum,Date,Дата,,,
haircutDetailCreatedTimeLabel,Trip detail / Booking detail,Čas,Time,Час,,,
haircutDetailCreatedWith,Trip detail / Booking detail,Účes jsme vytvořili s,We created this haircut with,Зачіску створено з,,,
haircutDetailNoteTitle,Trip detail / Booking detail,Podrobnosti účesu,Haircut details,Деталі зачіски,,,
haircutDetailPhotoUploadFailed,Trip detail / Booking detail,Fotku se nepodařilo nahrát. Zkuste to znovu.,Could not upload the photo. Please try again.,Не вдалося завантажити фото. Спробуйте ще раз.,,,
haircutDetailPhotosEmpty,Trip detail / Booking detail,Žádné fotky u tohoto účesu.,No photos for this haircut yet.,Немає фото для цієї зачіски.,,,
haircutDetailPhotosSection,Trip detail / Booking detail,Obrázky účesu,Haircut photos,Зображення зачіски,,,
haircutName,Haircut form,Název,Name,Ім’я,,,
haircutNameLabel,Haircut form,Název účesu,Haircut name,Назва зачіски,,,
haircutNote,Haircut form,Poznámka,Note,Примітка,,,
haircutNoteSectionDescription,Trip detail / Booking detail,Popis,Description,Опис,,,
haircutNoteSectionDifficulty,Trip detail / Booking detail,Náročnost,Difficulty,Складність,,,
haircutNoteSectionFeatures,Trip detail / Booking detail,Vlastnosti,Features,Властивості,,,
haircutNoteSectionMeasurements,Trip detail / Booking detail,Délky a péče,Lengths and care,Довжини та догляд,,,
haircutNoteSectionOther,Trip detail / Booking detail,Další,Other,Інше,,,
haircutNoteSectionOverview,Trip detail / Booking detail,Typ a období,Type and season,Тип і сезон,,,
haircutPhotos,Haircut,Fotky,Photos,Фото,,,
haircutStatsAvgInterval,Visit frequency stats,Průměrný interval,Average interval,Середній інтервал,,,
haircutStatsBookCta,Visit frequency stats,Objednat nový termín,Book a new appointment,Забронювати новий час,,,
haircutStatsDaysCount,Visit frequency stats,{count} dní,{count} days,{count} днів,,,
haircutStatsLink,Visit frequency stats,Statistiky návštěv,Visit statistics,Статистика візитів,,,
haircutStatsLongestPause,Visit frequency stats,Nejdelší pauza,Longest gap,Найдовша пауза,,,
haircutStatsNextVisit,Visit frequency stats,Další návštěva,Next visit,Наступний візит,,,
haircutStatsRecommendedIn,Visit frequency stats,Za {count} dní,In {count} days,Через {count} днів,,,
haircutStatsRecommendedNow,Visit frequency stats,Nyní,Now,Зараз,,,
haircutStatsStatusApproaching,Visit frequency stats,Blíží se čas na stříhání,Time is approaching,Наближається час стрижки,,,
haircutStatsStatusOk,Visit frequency stats,Vše v pořádku,All good,Усе гаразд,,,
haircutStatsStatusOverdue,Visit frequency stats,Je čas se objednat,Time to book,Час записатися,,,
haircutStatsSubtitle,Visit frequency stats,Jak často se chodíte stříhat,How often you get a haircut,Як часто ви стрижетесь,,,
haircutStatsTimeline,Visit frequency stats,Historie návštěv,Visit history,Історія візитів,,,
haircutStatsTimelineGap,Visit frequency stats,{count} dní,{count} days,{count} днів,,,
haircutStatsTitle,Visit frequency stats,Statistiky,Statistics,Статистика,,,
haircutTitle,Haircut,Střih,Haircut,Стрижка,,,
helpContactEmailType,Help,Podpora e-mailem,Email support,Підтримка ел. поштою,,,
helpContactEmailValue,Help,info@realbarber.cz,info@realbarber.cz,info@realbarber.cz,,,
helpContactHoursType,Help,Hodiny podpory,Support hours,Години підтримки,,,
helpContactHoursValue,Help,"""Po–Pá 8:30–21:30, So–Ne 9:30–18:30""","""Mon–Fri 8:30–21:30, Sat–Sun 9:30–18:30""","Пн–Пт 8:30–21:30, Сб–Нд 9:30–18:30",,,
helpContactPhoneType,Help,Živá podpora,Live support,Жива підтримка,,,
helpContactPhoneValue,Help,+420 608 332 881,+420 608 332 881,+420 608 332 881,,,
helpContactSubtitle,Help,"""Jsme tu kvůli rezervacím, pobočkám, barberům a čemukoli v aplikaci""","""We're here for reservations, branches, barbers, and anything in the app""","Ми тут для бронювань, філій, барберів і всього в застосунку",,,
helpContactSupport,Help,Kontaktovat podporu,Contact Support,Зв’язатися з підтримкою,,,
helpContactUs,Help,Kontaktujte nás,Contact Us,Звʼяжіться з нами,,,
helpFaq,Help,Časté dotazy,Frequently Asked Questions,Часті запитання,,,
helpFaq10Q,Help,Kde změním oznámení nebo jazyk?,Where do I change notifications or language?,Де змінити сповіщення або мову?,,,
helpFaq1Q,Help,Jak si rezervuji návštěvu u barbera?,How do I book an appointment?,Як забронювати візит до барбера?,,,
helpFaq2Q,Help,Mohu změnit nebo zrušit rezervaci?,Can I change or cancel a booking?,Чи можу змінити або скасувати бронювання?,,,
helpFaq3Q,Help,Proč mě aplikace žádá o přihlášení?,Why does the app ask me to sign in?,Чому застосунок просить увійти?,,,
helpFaq4Q,Help,Jak fungují oblíbené?,How do favorites work?,Як працюють улюблені?,,,
helpFaq5Q,Help,Mohu si produkt z katalogu koupit přímo v aplikaci?,Can I buy a product from the catalogue in the app?,Чи можу купити товар з каталогу прямо в застосунку?,,,
helpFaq6Q,Help,Co je sekce „Můj styl“?,What is “My style”?,Що таке розділ «Мій стиль»?,,,
helpFaq7Q,Help,Kde najdu pobočku na mapě?,Where do I find branches on the map?,Де знайти філію на карті?,,,
helpFaq8Q,Help,Co znamená „Kudy k nám“?,What does “How to get to us” mean?,Що означає «Як до нас дістатися»?,,,
helpFaq9Q,Help,Jak napíšu recenzi na pobočku nebo barbera?,How do I leave a review for a branch or barber?,Як залишити відгук про філію або барбера?,,,
helpTitle,Help,Nápověda a podpora,Help & Support,Допомога та підтримка,,,
homeBarbers,Real Barber home screen,Barbeři,Barbers,Барбери,,,
homeBarbersSubtitle,Real Barber home screen,Najdi svého,Find yours,Знайди свого,,,
homeBookings,Real Barber home screen,Rezervace,Bookings,Бронювання,,,
homeBookingsSubtitle,Real Barber home screen,Všechny mé rezervace,All my bookings,Усі мої бронювання,,,
homeBranches,Real Barber home screen,Pobočky,Branches,Філії,,,
homeBranchesSubtitle,Real Barber home screen,Vyber místo,Choose a location,Оберіть відділення,,,
homeContinueSearchBarbershops,Common,Najít pobočku na mapě,Find a branch on the map,Знайти філію на карті,,,
homeCouponCopyCode,Real Barber home screen,Zkopírovat kód,Copy code,Скопіювати код,,,
homeCouponDescriptionLabel,Real Barber home screen,Popis,Description,Опис,,,
homeCouponDetailBenefitLabel,Real Barber home screen,Výhoda,Benefit,Перевага,,,
homeCouponDetailNotFound,Real Barber home screen,Tato nabídka už není k dispozici.,This offer is no longer available.,Ця пропозиція вже недоступна.,,,
homeCouponDetailScopeLabel,Real Barber home screen,Kde platí,Where it applies,Де діє,,,
homeCouponLimitedScope,Real Barber home screen,"""Pouze u vybraných poboček, služeb nebo holičů""","""Limited to selected branches, services or staff""","Лише для вибраних філій, послуг або барберів",,,
homeCouponSheetCodeLabel,Real Barber home screen,Kód kupónu,Coupon code,Код купона,,,
homeCouponValidityLabel,Real Barber home screen,Platnost,Validity,Термін дії,,,
homeCouponValidityPillFrom,Real Barber home screen,Od,From,від,,,
homeCouponValidityPillUntil,Real Barber home screen,Do,Until,До,,,
homeCreateBooking,Real Barber home screen,Objednat se,Book now,Записатися,,,
